id,stationName,latitude,longitude,neighbourhood,availableDocks,totalDocks,city,color,borough
3414,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,Park Slope,16,33,NYC,#FAF6E0,Brooklyn
3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,Park Slope,16,25,NYC,#FAF6E0,Brooklyn
3417,Baltic St & 5 Ave,40.6795766,-73.97854971,Park Slope,0,27,NYC,#FAF6E0,Brooklyn
3418,Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,Park Slope,31,33,NYC,#FAF6E0,Brooklyn
3419,Douglass St & 4 Ave,40.67927879999999,-73.98154004,Gowanus,0,27,NYC,#BAA891,Brooklyn
3420,Douglass St & 3 Ave,40.6802133,-73.98432695,Park Slope,1,21,NYC,#FAF6E0,Brooklyn
3421,Hoyt St & Warren St,40.6843549,-73.98901629,Boerum Hill Historic District,2,23,NYC,#5878BA,Brooklyn
3422,Columbia St & Degraw St,40.6859296,-74.00242364,Columbia Street Waterfront District,1,21,NYC,#FF9966,Brooklyn
3423,West Drive & Prospect Park West,40.6610633719006,-73.97945255041121,Windsor Terrace,15,29,NYC,#DAD8F3,Brooklyn
3424,E 106 St & Lexington Ave,40.791976,-73.945993,East Harlem,21,27,NYC,#D05E56,Manhattan
3425,2 Ave & E 104 St,40.789210499999996,-73.94370784,East Harlem,12,33,NYC,#D05E56,Manhattan
3427,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,SoHo,7,40,NYC,#000846,Manhattan
3428,8 Ave & W 16 St,40.740983,-74.00170200000001,Chelsea,0,0,NYC,#DAF2FD,Manhattan
3429,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,Fort Greene,4,39,NYC,#F8F4BC,Brooklyn
3430,Richardson St & N Henry St,40.71907891179564,-73.94223690032959,Greenpoint,15,19,NYC,#097575,Brooklyn
3431,E 35 St & 3 Ave,40.746524,-73.977885,Murray Hill,19,23,NYC,#3498DB,Manhattan
3434,W 88 St & West End Ave,40.790254173304184,-73.97718340158461,Upper West Side,35,35,NYC,#FFBF00,Manhattan
3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,Little Italy,13,45,NYC,#F5F5F5,Manhattan
3437,Riverside Dr & W 91 St,40.793134809866636,-73.97700369358063,Upper West Side,32,39,NYC,#FFBF00,Manhattan
3438,E 76 St & 3 Ave,40.772248537721744,-73.95842134952545,Upper East Side,30,31,NYC,#3FCAE6,Manhattan
3440,Fulton St & Adams St,40.692418292578466,-73.98949474096298,Downtown Brooklyn,21,43,NYC,#B2C908,Brooklyn
3443,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,Diamond District,0,7,NYC,#80C9BF,Manhattan
3447,E 71 St & 1 Ave,40.76703432309872,-73.95622730255127,Lenox Hill,36,41,NYC,#CBA9D7,Manhattan
3449,Eckford St & Engert Ave,40.72146256229816,-73.94800901412964,Greenpoint,14,18,NYC,#097575,Brooklyn
3452,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,Williamsburg,28,43,NYC,#ED7710,Brooklyn
3453,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,Williamsburg,5,19,NYC,#ED7710,Brooklyn
3454,Leonard St & Maujer St,40.71036854235229,-73.94705951213838,Greenpoint,10,24,NYC,#097575,Brooklyn
3455,Schermerhorn St & 3 Ave,40.68680820503432,-73.98036181926726,Boerum Hill Historic District,10,35,NYC,#5878BA,Brooklyn
3456,Jackson St & Leonard St,40.716380319735606,-73.94821286201476,Greenpoint,21,22,NYC,#097575,Brooklyn
3457,E 58 St & Madison Ave,40.763025942805186,-73.97209525108337,Upper East Side,40,46,NYC,#3FCAE6,Manhattan
3458,W 55 St & 6 Ave,40.76309387270797,-73.97835016250609,Diamond District,3,3,NYC,#80C9BF,Manhattan
3459,E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,Murray Hill,34,34,NYC,#3498DB,Manhattan
3461,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,Tribeca,4,33,NYC,#E1A0A0,Manhattan
3462,E 44 St & 2 Ave,40.75118387463277,-73.97138714790343,Tudor City,38,39,NYC,#55E08F,Manhattan
3463,E 16 St & Irving Pl,40.735367055605394,-73.98797392845155,Gramercy Park,27,37,NYC,#7E48A7,Manhattan
3466,W 45 St & 6 Ave,40.75668720603179,-73.98257732391356,Diamond District,33,34,NYC,#80C9BF,Manhattan
3467,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,University Village,1,42,NYC,#E0000B,Manhattan
3469,India St & West St,40.73181401720966,-73.95995020866394,Greenpoint,5,23,NYC,#097575,Brooklyn
3472,W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,Chelsea,34,39,NYC,#DAF2FD,Manhattan
3474,6 Ave & Spring St,40.7252556952547,-74.00412082672119,Greenwich Village,28,36,NYC,#EE1D24,Manhattan
3476,Norman Ave & Leonard St,40.725769967272136,-73.9507395029068,Greenpoint,0,3,NYC,#097575,Brooklyn
3477,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.0106278657913,Sunset Park,30,33,NYC,#C4E8EE,Brooklyn
3478,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863,Greenwood,21,43,NYC,#FDF7D2,Brooklyn
3479,Picnic Point,40.68512559515415,-74.02535319328308,Nolan Park,11,45,NYC,#626262,Manhattan
3481,York St,40.71649,-74.04105,Colgate Center,14,22,Jersey City,#898989,Jersey City
3483,Montgomery St,40.71942,-74.05099,Colgate Center,1,14,Jersey City,#898989,Jersey City
3486,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,Boerum Hill Historic District,14,30,NYC,#5878BA,Brooklyn
3489,Gold St & Frankfort St,40.710699946313866,-74.00354146957396,Southbridge Towers,22,31,NYC,#FCD22A,Manhattan
3490,E 116 St & 2 Ave,40.796879,-73.93726099999999,East Harlem,24,31,NYC,#D05E56,Manhattan
3491,E 118 St & 1 Ave,40.797470000000004,-73.93504,East Harlem,12,24,NYC,#D05E56,Manhattan
